Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Admin,Edge Chromium 117,,,2023-10-04 18:16:34,2023-10-04 18:39:40,23m - 5.753s,ERROR
,,,,,,,
Test Cases/Product Admin/TC-PA-001,Edge Chromium 117,user melihat produk yang ada,,2023-10-04 18:16:35,2023-10-04 18:17:01,26.114s,PASSED
"callTestCase(findTestCase(""Login Admin/TC-Login Admin-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-04 18:16:36,2023-10-04 18:16:59,23.046s,PASSED
"click(findTestObject(""Product Admin/Master Market""))",Edge Chromium 117,,,2023-10-04 18:16:59,2023-10-04 18:16:59,0.494s,PASSED
"click(findTestObject(""Product Admin/Produk Admin""))",Edge Chromium 117,,,2023-10-04 18:16:59,2023-10-04 18:17:00,1.268s,PASSED
"verifyElementPresent(findTestObject(""Product Admin/Veridikasi Halaman Semua Produk""), 0)",Edge Chromium 117,,,2023-10-04 18:17:00,2023-10-04 18:17:01,0.492s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-002,Edge Chromium 117,User ingin menampilkan product sebanyak 10/25/50/100,,2023-10-04 18:17:01,2023-10-04 18:17:23,21.735s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-04 18:17:01,2023-10-04 18:17:21,20.085s,PASSED
"selectOptionByValue(findTestObject(""Product Admin/Show Product""), show, false)",Edge Chromium 117,,,2023-10-04 18:17:21,2023-10-04 18:17:22,0.812s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data No Product""), 10)",Edge Chromium 117,,,2023-10-04 18:17:22,2023-10-04 18:17:23,0.449s,PASSED
assert Integer.parseInt(show) == dataList.size(),Edge Chromium 117,,,2023-10-04 18:17:23,2023-10-04 18:17:23,0.003s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-003,Edge Chromium 117,User ingin mengurutkan No product dari yang terbesar ke yang terkecil,,2023-10-04 18:17:23,2023-10-04 18:17:44,21.180s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-04 18:17:23,2023-10-04 18:17:43,19.685s,PASSED
"click(findTestObject(""Product Admin/Button Sort No""))",Edge Chromium 117,,,2023-10-04 18:17:43,2023-10-04 18:17:43,0.431s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data No Product""), 10)",Edge Chromium 117,,,2023-10-04 18:17:43,2023-10-04 18:17:44,0.467s,PASSED
arrProdukNoOri = [],Edge Chromium 117,,,2023-10-04 18:17:44,2023-10-04 18:17:44,0.000s,PASSED
arrProdukNoSort = [],Edge Chromium 117,,,2023-10-04 18:17:44,2023-10-04 18:17:44,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-04 18:17:44,2023-10-04 18:17:44,0.155s,PASSED
"Arrays.sort(arrProdukNoSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-04 18:17:44,2023-10-04 18:17:44,0.017s,PASSED
assert arrProdukNoOri == arrProdukNoSort,Edge Chromium 117,,,2023-10-04 18:17:44,2023-10-04 18:17:44,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-004,Edge Chromium 117,User ingin mengurutkan No product dari yang terkecil ke yang terbesar,,2023-10-04 18:17:44,2023-10-04 18:18:07,23.455s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-003""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-04 18:17:44,2023-10-04 18:18:06,21.817s,PASSED
"click(findTestObject(""Product Admin/Button Sort No""))",Edge Chromium 117,,,2023-10-04 18:18:06,2023-10-04 18:18:07,0.451s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data No Product""), 10)",Edge Chromium 117,,,2023-10-04 18:18:07,2023-10-04 18:18:07,0.468s,PASSED
arrProdukNoOri = [],Edge Chromium 117,,,2023-10-04 18:18:07,2023-10-04 18:18:07,0.001s,PASSED
arrProdukNoSort = [],Edge Chromium 117,,,2023-10-04 18:18:07,2023-10-04 18:18:07,0.001s,PASSED
