Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Wakaf Asset Online,Edge Chromium 117,,,2023-09-22 14:18:41,2023-09-22 14:26:14,7m - 32.731s,FAILED
,,,,,,,
Test Cases/Wakaf Asset Online/TC-Wakaf-Asset-Online 001,Edge Chromium 117,user memasukkan Data di Wakaf Asset Online dengan input valid.,,2023-09-22 14:18:42,2023-09-22 14:19:09,27.812s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-09-22 14:18:42,2023-09-22 14:18:56,14.298s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-09-22 14:18:56,2023-09-22 14:18:56,0.165s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-09-22 14:18:56,2023-09-22 14:18:57,0.737s,PASSED
"click(findTestObject(""Wakaf Asset Online/Donasi""))",Edge Chromium 117,,,2023-09-22 14:18:57,2023-09-22 14:18:58,0.446s,PASSED
"click(findTestObject(""Wakaf Asset Online/Wakaf Asset Donasi""))",Edge Chromium 117,,,2023-09-22 14:18:58,2023-09-22 14:18:59,0.953s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/verify Wakaf Asset Online""), 0)",Edge Chromium 117,,,2023-09-22 14:18:59,2023-09-22 14:18:59,0.684s,PASSED
"selectOptionByValue(findTestObject(""Wakaf Asset Online/Pilih Type Wakaf""), ""Bangunan"", false)",Edge Chromium 117,,,2023-09-22 14:18:59,2023-09-22 14:19:00,0.719s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Perkiraan Nilai Asset""), ""100000000"")",Edge Chromium 117,,,2023-09-22 14:19:00,2023-09-22 14:19:01,1.038s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Alamat Asset""), ""Jalan Taruma Jawa Timur"")",Edge Chromium 117,,,2023-09-22 14:19:01,2023-09-22 14:19:02,0.737s,PASSED
