Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Ecomerce,Edge Chromium 117,,,2023-10-04 19:30:21,2023-10-04 19:42:30,12m - 8.829s,ERROR
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-001,Edge Chromium 117,user ingin melihat product pada toko,,2023-10-04 19:30:21,2023-10-04 19:30:38,17.098s,PASSED
"callTestCase(findTestCase(""Login Ecommerce/TC-Login Ecomerce-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-04 19:30:22,2023-10-04 19:30:36,13.931s,PASSED
"mouseOver(findTestObject(""Product Ecommerce/Button Menu toko""))",Edge Chromium 117,,,2023-10-04 19:30:36,2023-10-04 19:30:37,0.689s,PASSED
"click(findTestObject(""Product Ecommerce/Button Daftar Produk""))",Edge Chromium 117,,,2023-10-04 19:30:37,2023-10-04 19:30:38,1.139s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Verifikasi Halaman Product Anda""), 0)",Edge Chromium 117,,,2023-10-04 19:30:38,2023-10-04 19:30:38,0.733s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-002,Edge Chromium 117,user Menambahkan Produk dengan data valid,,2023-10-04 19:30:38,2023-10-04 19:31:48,1m - 9.094s,FAILED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-04 19:30:39,2023-10-04 19:30:54,14.773s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Produk""))",Edge Chromium 117,,,2023-10-04 19:30:54,2023-10-04 19:30:55,1.263s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Tambahkan Product/Verifikasi Halaman Tambahkan Product""), 0)",Edge Chromium 117,,,2023-10-04 19:30:55,2023-10-04 19:30:56,0.598s,PASSED
"selectOptionByValue(findTestObject(""Product Ecommerce/Tambahkan Product/Pilih Katagori Produk""), ""6"", false)",Edge Chromium 117,,,2023-10-04 19:30:56,2023-10-04 19:30:57,0.882s,PASSED
"selectOptionByValue(findTestObject(""Product Ecommerce/Tambahkan Product/Pilih Sub Katagori Produk""), ""15"", false)",Edge Chromium 117,,,2023-10-04 19:30:57,2023-10-04 19:30:57,0.829s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Nama Produk""), ""Baju Koko Kids 0 - 9 tahun"")",Edge Chromium 117,,,2023-10-04 19:30:57,2023-10-04 19:30:58,0.817s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Satuan""), ""Pcs"")",Edge Chromium 117,,,2023-10-04 19:30:58,2023-10-04 19:30:59,0.772s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Berat""), ""100"")",Edge Chromium 117,,,2023-10-04 19:30:59,2023-10-04 19:31:00,0.801s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Harga Modal""), ""10000"")",Edge Chromium 117,,,2023-10-04 19:31:00,2023-10-04 19:31:01,0.766s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Harga Jual""), ""12000"")",Edge Chromium 117,,,2023-10-04 19:31:01,2023-10-04 19:31:01,0.787s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Diskon""), ""1000"")",Edge Chromium 117,,,2023-10-04 19:31:01,2023-10-04 19:31:02,0.750s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Stok Awal""), ""20"")",Edge Chromium 117,,,2023-10-04 19:31:02,2023-10-04 19:31:03,0.748s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Minimum Order""), ""1"")",Edge Chromium 117,,,2023-10-04 19:31:03,2023-10-04 19:31:04,0.980s,PASSED
