Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Wakaf Asset Online,Edge Chromium 117,,,2023-10-02 16:46:37,2023-10-02 16:53:13,6m - 36.737s,FAILED
,,,,,,,
Test Cases/Wakaf Asset Online/TC-WAO-001,Edge Chromium 117,user memasukkan Data di Wakaf Asset Online dengan input valid.,,2023-10-02 16:46:37,2023-10-02 16:46:54,17.321s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-02 16:46:37,2023-10-02 16:46:44,6.335s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-02 16:46:44,2023-10-02 16:46:44,0.160s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-02 16:46:44,2023-10-02 16:46:45,0.759s,PASSED
"click(findTestObject(""Wakaf Asset Online/Donasi""))",Edge Chromium 117,,,2023-10-02 16:46:45,2023-10-02 16:46:45,0.414s,PASSED
"click(findTestObject(""Wakaf Asset Online/Wakaf Asset Donasi""))",Edge Chromium 117,,,2023-10-02 16:46:45,2023-10-02 16:46:46,0.710s,PASSED
"verifyElementPresent(findTestObject(""Wakaf Asset Online/verify Wakaf Asset Online""), 0)",Edge Chromium 117,,,2023-10-02 16:46:46,2023-10-02 16:46:46,0.541s,PASSED
"selectOptionByValue(findTestObject(""Wakaf Asset Online/Pilih Type Wakaf""), ""Bangunan"", false)",Edge Chromium 117,,,2023-10-02 16:46:46,2023-10-02 16:46:47,0.710s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Perkiraan Nilai Asset""), ""100000000"")",Edge Chromium 117,,,2023-10-02 16:46:47,2023-10-02 16:46:48,1.035s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Alamat Asset""), ""Jalan Taruma Jawa Timur"")",Edge Chromium 117,,,2023-10-02 16:46:48,2023-10-02 16:46:49,0.730s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Keterangan Asset""), ""Masjid"")",Edge Chromium 117,,,2023-10-02 16:46:49,2023-10-02 16:46:49,0.742s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input Nama Lengkap""), ""joko susanto"")",Edge Chromium 117,,,2023-10-02 16:46:49,2023-10-02 16:46:50,0.683s,PASSED
"setText(findTestObject(""Wakaf Asset Online/Input No Handphone""), ""085123456789"")",Edge Chromium 117,,,2023-10-02 16:46:50,2023-10-02 16:46:51,1.004s,PASSED
