Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Ecomerce,Edge Chromium 117,,,2023-10-06 09:05:56,2023-10-06 09:18:29,12m - 32.841s,FAILED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-001,Edge Chromium 117,user ingin melihat product pada toko,,2023-10-06 09:05:56,2023-10-06 09:06:12,15.538s,PASSED
"callTestCase(findTestCase(""Login Ecommerce/TC-Login Ecomerce-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:05:57,2023-10-06 09:06:10,12.986s,PASSED
"mouseOver(findTestObject(""Product Ecommerce/Button Menu toko""))",Edge Chromium 117,,,2023-10-06 09:06:10,2023-10-06 09:06:10,0.555s,PASSED
"click(findTestObject(""Product Ecommerce/Button Daftar Produk""))",Edge Chromium 117,,,2023-10-06 09:06:10,2023-10-06 09:06:11,0.987s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Verifikasi Halaman Product Anda""), 0)",Edge Chromium 117,,,2023-10-06 09:06:11,2023-10-06 09:06:12,0.665s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-002,Edge Chromium 117,user Menambahkan Produk dengan data valid,,2023-10-06 09:06:12,2023-10-06 09:07:17,1m - 5.392s,FAILED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:06:12,2023-10-06 09:06:26,13.607s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Produk""))",Edge Chromium 117,,,2023-10-06 09:06:26,2023-10-06 09:06:27,1.111s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Tambahkan Product/Verifikasi Halaman Tambahkan Product""), 0)",Edge Chromium 117,,,2023-10-06 09:06:27,2023-10-06 09:06:27,0.456s,PASSED
"selectOptionByValue(findTestObject(""Product Ecommerce/Tambahkan Product/Pilih Katagori Produk""), ""6"", false)",Edge Chromium 117,,,2023-10-06 09:06:27,2023-10-06 09:06:28,0.702s,PASSED
"selectOptionByValue(findTestObject(""Product Ecommerce/Tambahkan Product/Pilih Sub Katagori Produk""), ""15"", false)",Edge Chromium 117,,,2023-10-06 09:06:28,2023-10-06 09:06:29,0.923s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Nama Produk""), ""Baju Koko Kids 0 - 9 tahun"")",Edge Chromium 117,,,2023-10-06 09:06:29,2023-10-06 09:06:30,0.729s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Satuan""), ""Pcs"")",Edge Chromium 117,,,2023-10-06 09:06:30,2023-10-06 09:06:30,0.697s,PASSED
