Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:37:51,2023-10-05 15:38:03,11.601s,PASSED
"mouseOver(findTestObject(""Product Ecommerce/Image Gambar produk 1""))",Edge Chromium 117,,,2023-10-05 15:38:03,2023-10-05 15:38:03,0.489s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Tambahkan Produk""), 0)",Edge Chromium 117,,,2023-10-05 15:38:03,2023-10-05 15:38:03,0.337s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Product/Edit Data""))",Edge Chromium 117,,,2023-10-05 15:38:03,2023-10-05 15:38:04,0.904s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Harga Jual""), hargaBaru)",Edge Chromium 117,,,2023-10-05 15:38:04,2023-10-05 15:38:05,0.843s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Product/Button Update Data""))",Edge Chromium 117,,,2023-10-05 15:38:05,2023-10-05 15:38:06,1.110s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Verifikasi Halaman Product Anda""), 0)",Edge Chromium 117,,,2023-10-05 15:38:06,2023-10-05 15:38:07,0.432s,PASSED
"hargaProduct = getText(findTestObject(""Object Repository/Product Ecommerce/Verifikasi product/Harga Product Ke 1""))",Edge Chromium 117,,,2023-10-05 15:38:07,2023-10-05 15:38:07,0.350s,PASSED
"harga = hargaProduct.split("" "")",Edge Chromium 117,,,2023-10-05 15:38:07,2023-10-05 15:38:07,0.002s,PASSED
"assert harga[1].replace("","", """") == hargaBaru",Edge Chromium 117,,,2023-10-05 15:38:07,2023-10-05 15:38:07,0.003s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-004,Edge Chromium 117,user ingin melihat detail Produk,,2023-10-05 15:38:07,2023-10-05 15:38:50,43.212s,PASSED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:38:07,2023-10-05 15:38:48,41.092s,PASSED
"mouseOver(findTestObject(""Product Ecommerce/Image Gambar produk 1""))",Edge Chromium 117,,,2023-10-05 15:38:48,2023-10-05 15:38:49,0.518s,PASSED
"click(findTestObject(""Product Ecommerce/Melihat Product""))",Edge Chromium 117,,,2023-10-05 15:38:49,2023-10-05 15:38:49,0.391s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Verifikasi product/Verifikasi halaman Detail Product""), 0)",Edge Chromium 117,,,2023-10-05 15:38:49,2023-10-05 15:38:50,0.988s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-005,Edge Chromium 117,user ingin menghapus Produk,,2023-10-05 15:38:50,2023-10-05 15:39:06,16.042s,PASSED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:38:50,2023-10-05 15:39:04,13.320s,PASSED
"dataListOld = findWebElements(findTestObject(""Object Repository/Product Ecommerce/Verifikasi product/Jumlah Product""), 10)",Edge Chromium 117,,,2023-10-05 15:39:04,2023-10-05 15:39:04,0.314s,PASSED
"mouseOver(findTestObject(""Product Ecommerce/Image Gambar produk 1""))",Edge Chromium 117,,,2023-10-05 15:39:04,2023-10-05 15:39:05,0.491s,PASSED
"click(findTestObject(""Product Ecommerce/Hapus data Product""), CONTINUE_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:39:05,2023-10-05 15:39:05,0.360s,PASSED
"waitForAlert(5, OPTIONAL)",Edge Chromium 117,,,2023-10-05 15:39:05,2023-10-05 15:39:05,0.021s,PASSED
acceptAlert(),Edge Chromium 117,,,2023-10-05 15:39:05,2023-10-05 15:39:05,0.029s,PASSED
"dataListNew = findWebElements(findTestObject(""Object Repository/Product Ecommerce/Verifikasi product/Jumlah Product""), 10)",Edge Chromium 117,,,2023-10-05 15:39:05,2023-10-05 15:39:06,1.261s,PASSED
assert dataListOld.size() > dataListNew.size(),Edge Chromium 117,,,2023-10-05 15:39:06,2023-10-05 15:39:06,0.000s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-006,Edge Chromium 117,user input data Valid namun cancel,,2023-10-05 15:39:06,2023-10-05 15:39:36,30.221s,PASSED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:39:06,2023-10-05 15:39:19,12.666s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Produk""))",Edge Chromium 117,,,2023-10-05 15:39:19,2023-10-05 15:39:20,0.870s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Tambahkan Product/Verifikasi Halaman Tambahkan Product""), 0)",Edge Chromium 117,,,2023-10-05 15:39:20,2023-10-05 15:39:20,0.432s,PASSED
"selectOptionByValue(findTestObject(""Product Ecommerce/Tambahkan Product/Pilih Katagori Produk""), ""6"", false)",Edge Chromium 117,,,2023-10-05 15:39:20,2023-10-05 15:39:21,0.669s,PASSED
"selectOptionByValue(findTestObject(""Product Ecommerce/Tambahkan Product/Pilih Sub Katagori Produk""), ""15"", false)",Edge Chromium 117,,,2023-10-05 15:39:21,2023-10-05 15:39:22,0.790s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Nama Produk""), ""Baju Koko Kids 0 - 9 tahun"")",Edge Chromium 117,,,2023-10-05 15:39:22,2023-10-05 15:39:23,0.725s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Satuan""), ""Pcs"")",Edge Chromium 117,,,2023-10-05 15:39:23,2023-10-05 15:39:23,0.697s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Berat""), ""100"")",Edge Chromium 117,,,2023-10-05 15:39:23,2023-10-05 15:39:24,0.727s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Harga Modal""), ""10000"")",Edge Chromium 117,,,2023-10-05 15:39:24,2023-10-05 15:39:25,0.691s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Harga Jual""), ""12000"")",Edge Chromium 117,,,2023-10-05 15:39:25,2023-10-05 15:39:26,0.896s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Diskon""), ""1000"")",Edge Chromium 117,,,2023-10-05 15:39:26,2023-10-05 15:39:26,0.658s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Stok Awal""), ""20"")",Edge Chromium 117,,,2023-10-05 15:39:26,2023-10-05 15:39:27,0.668s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Minimum Order""), ""1"")",Edge Chromium 117,,,2023-10-05 15:39:27,2023-10-05 15:39:28,0.705s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Cuplikan""), ""Stylish dan Nyaman! Baju Koko Kids kami cocok untuk usia 0 - 9 tahun. Terbuat dari bahan berkualitas tinggi yang lembut di kulit anak-anak, baju ini sempurna untuk berbagai acara, termasuk lebaran."")",Edge Chromium 117,,,2023-10-05 15:39:28,2023-10-05 15:39:29,0.819s,PASSED
"check(findTestObject(""Product Ecommerce/Tambahkan Product/Input Merek Pria""))",Edge Chromium 117,,,2023-10-05 15:39:29,2023-10-05 15:39:29,0.366s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Keterangan""), ""Desain Modern: Tampil modis dengan desain terkini yang cocok untuk anak-anak. Kenyamanan Sepanjang Hari: Bahan lembut dan nyaman sehingga anak-anak tetap bahagia sepanjang hari. Beragam Warna: Pilihan warna yang cerah dan menarik. Ukuran Sesuai: Tersedia dalam berbagai ukuran, mulai dari 0 hingga 9 tahun. Dapatkan tampilan yang trendi untuk si kecil dengan Baju Koko Kids kami. Pesan sekarang dan buat momen lebaran mereka lebih istimewa!"")",Edge Chromium 117,,,2023-10-05 15:39:29,2023-10-05 15:39:31,2.413s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Variasi 1 Nama Variasi""), ""Warna"")",Edge Chromium 117,,,2023-10-05 15:39:31,2023-10-05 15:39:32,0.926s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Variasi 1 Kolom 1""), ""Merah"")",Edge Chromium 117,,,2023-10-05 15:39:32,2023-10-05 15:39:33,0.688s,PASSED
"setText(findTestObject(""Product Ecommerce/Tambahkan Product/Input Variasi 1 Kolom 2""), ""Biru"")",Edge Chromium 117,,,2023-10-05 15:39:33,2023-10-05 15:39:34,0.669s,PASSED
"uploadFile(findTestObject(""Product Ecommerce/Tambahkan Product/Input File""), ""E:\Pelatihan\Xsis Academy\Baju koko kids.jpg"")",Edge Chromium 117,,,2023-10-05 15:39:34,2023-10-05 15:39:34,0.374s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Product/Button Cancel""))",Edge Chromium 117,,,2023-10-05 15:39:34,2023-10-05 15:39:36,1.873s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Verifikasi Halaman Product Anda""), 0)",Edge Chromium 117,,,2023-10-05 15:39:36,2023-10-05 15:39:36,0.650s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-007,Edge Chromium 117,user ingin menambahkan variasi Produk,,2023-10-05 15:39:36,2023-10-05 15:39:51,14.978s,PASSED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:39:37,2023-10-05 15:39:50,12.985s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Produk""))",Edge Chromium 117,,,2023-10-05 15:39:50,2023-10-05 15:39:51,0.838s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Product/Input Tambah Kolom Variasi 1""))",Edge Chromium 117,,,2023-10-05 15:39:51,2023-10-05 15:39:51,0.485s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Verifikasi product/Verifikasi variasi Bertambah""), 0)",Edge Chromium 117,,,2023-10-05 15:39:51,2023-10-05 15:39:51,0.431s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-008,Edge Chromium 117,user ingin mengurangi variasi Produk,,2023-10-05 15:39:51,2023-10-05 15:40:06,14.522s,PASSED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:39:52,2023-10-05 15:40:04,12.240s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Produk""))",Edge Chromium 117,,,2023-10-05 15:40:04,2023-10-05 15:40:05,0.965s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Product/Input Hapus Kolom Variasi 1""))",Edge Chromium 117,,,2023-10-05 15:40:05,2023-10-05 15:40:05,0.538s,PASSED
"verifyElementNotPresent(findTestObject(""Product Ecommerce/Verifikasi product/Verifikasi variasi Berkurang""), 0)",Edge Chromium 117,,,2023-10-05 15:40:05,2023-10-05 15:40:06,0.546s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-009,Edge Chromium 117,user ingin membuat Kupon produk dengan data valid,,2023-10-05 15:40:06,2023-10-05 15:40:26,20.029s,PASSED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:40:06,2023-10-05 15:40:18,11.764s,PASSED
"mouseOver(findTestObject(""Product Ecommerce/Image Gambar produk 1""))",Edge Chromium 117,,,2023-10-05 15:40:18,2023-10-05 15:40:19,0.513s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Product/Edit Data""))",Edge Chromium 117,,,2023-10-05 15:40:19,2023-10-05 15:40:20,0.889s,PASSED
"click(findTestObject(""Product Ecommerce/Kupon/Button Buat Product""))",Edge Chromium 117,,,2023-10-05 15:40:20,2023-10-05 15:40:20,0.592s,PASSED
"verifyElementPresent(findTestObject(""Product Ecommerce/Kupon/Verifikasi Halaman Voucher Product""), 0)",Edge Chromium 117,,,2023-10-05 15:40:20,2023-10-05 15:40:21,0.645s,PASSED
"setText(findTestObject(""Product Ecommerce/Kupon/Input Kode Kupon""), kodeKupon)",Edge Chromium 117,,,2023-10-05 15:40:21,2023-10-05 15:40:22,0.748s,PASSED
"setText(findTestObject(""Product Ecommerce/Kupon/Input Jumlah Kode kupon""), jumlah)",Edge Chromium 117,,,2023-10-05 15:40:22,2023-10-05 15:40:22,0.741s,PASSED
"setText(findTestObject(""Product Ecommerce/Kupon/Input Masa Berlaku""), expired)",Edge Chromium 117,,,2023-10-05 15:40:22,2023-10-05 15:40:23,0.749s,PASSED
"setText(findTestObject(""Product Ecommerce/Kupon/Input Min Order""), minOrder)",Edge Chromium 117,,,2023-10-05 15:40:23,2023-10-05 15:40:24,0.702s,PASSED
"setText(findTestObject(""Product Ecommerce/Kupon/Input Nilai Kupon""), nilai)",Edge Chromium 117,,,2023-10-05 15:40:24,2023-10-05 15:40:25,1.148s,PASSED
"click(findTestObject(""Product Ecommerce/Kupon/Button Simpan""))",Edge Chromium 117,,,2023-10-05 15:40:25,2023-10-05 15:40:25,0.375s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Ecommerce/Kupon/Data Semua Voucher""), 10)",Edge Chromium 117,,,2023-10-05 15:40:25,2023-10-05 15:40:26,0.767s,PASSED
