Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Search Product,Edge Chromium 117,,,2023-10-03 11:16:10,2023-10-03 11:22:38,6m - 28.771s,FAILED
,,,,,,,
Test Cases/Search Product/TC-SP-001,Edge Chromium 117,User memasukkan nama product di Kolom pencarian produk dengan input valid.,,2023-10-03 11:16:10,2023-10-03 11:16:21,11.430s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-03 11:16:10,2023-10-03 11:16:18,7.603s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-03 11:16:18,2023-10-03 11:16:18,0.166s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-03 11:16:18,2023-10-03 11:16:19,0.687s,PASSED
"setText(findTestObject(""Search Product/Input Product""), merk)",Edge Chromium 117,,,2023-10-03 11:16:19,2023-10-03 11:16:20,0.771s,PASSED
"click(findTestObject(""Search Product/button_Cari Product""))",Edge Chromium 117,,,2023-10-03 11:16:20,2023-10-03 11:16:21,1.063s,PASSED
"merk_product = getText(findTestObject(""Object Repository/Search Product/Laptop Merk Dell""))",Edge Chromium 117,,,2023-10-03 11:16:21,2023-10-03 11:16:21,0.720s,PASSED
merkLowercase = merk_product.toLowerCase(),Edge Chromium 117,,,2023-10-03 11:16:21,2023-10-03 11:16:21,0.002s,PASSED
assert merkLowercase.contains(merk.toLowerCase()),Edge Chromium 117,,,2023-10-03 11:16:21,2023-10-03 11:16:21,0.002s,PASSED
,,,,,,,
Test Cases/Search Product/TC-SP-002,Edge Chromium 117,user memasukkan nama product di pencarian produk dengan input valid dengan hanya 1 huruf.,,2023-10-03 11:16:21,2023-10-03 11:16:32,10.693s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-03 11:16:22,2023-10-03 11:16:28,6.731s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-03 11:16:28,2023-10-03 11:16:29,0.146s,PASSED
"verifyElementPresent(findTestObject(""Search Product/Verify Page Tajalapak""), 0)",Edge Chromium 117,,,2023-10-03 11:16:29,2023-10-03 11:16:29,0.701s,PASSED
"setText(findTestObject(""Search Product/Input Product""), merk)",Edge Chromium 117,,,2023-10-03 11:16:29,2023-10-03 11:16:30,0.711s,PASSED
"click(findTestObject(""Search Product/button_Cari Product""))",Edge Chromium 117,,,2023-10-03 11:16:30,2023-10-03 11:16:31,1.263s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Search Product/Semua nama Produk""), 10)",Edge Chromium 117,,,2023-10-03 11:16:31,2023-10-03 11:16:32,0.663s,PASSED
arrProdukName = [],Edge Chromium 117,,,2023-10-03 11:16:32,2023-10-03 11:16:32,0.002s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:16:32,2023-10-03 11:16:32,0.139s,PASSED
print(arrProdukName),Edge Chromium 117,,,2023-10-03 11:16:32,2023-10-03 11:16:32,0.004s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:16:32,2023-10-03 11:16:32,0.005s,PASSED
,,,,,,,
Test Cases/Search Product/TC-SP-003,Edge Chromium 117,user memasukkan harga maksimal dan minimal produk saat mencari product,,2023-10-03 11:16:32,2023-10-03 11:16:48,15.597s,FAILED
"callTestCase(findTestCase(""Search Product/TC-SP-002""), [""merk"":""a""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-03 11:16:32,2023-10-03 11:16:43,10.552s,PASSED
"setText(findTestObject(""Search Product/input_Filter Produk_dari""), Min)",Edge Chromium 117,,,2023-10-03 11:16:43,2023-10-03 11:16:44,1.277s,PASSED
"setText(findTestObject(""Search Product/input_Filter Produk_sampai""), Max)",Edge Chromium 117,,,2023-10-03 11:16:44,2023-10-03 11:16:45,1.159s,PASSED
"click(findTestObject(""Search Product/button_Tampilkan product dari sampai""))",Edge Chromium 117,,,2023-10-03 11:16:45,2023-10-03 11:16:47,1.470s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Search Product/Harga Semua Product""), 10)",Edge Chromium 117,,,2023-10-03 11:16:47,2023-10-03 11:16:47,0.660s,PASSED
arrProdukHarga = [],Edge Chromium 117,,,2023-10-03 11:16:47,2023-10-03 11:16:47,0.001s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:16:47,2023-10-03 11:16:48,0.155s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:16:48,2023-10-03 11:16:48,0.014s,FAILED
,,,,,,,
Test Cases/Search Product/TC-SP-004,Edge Chromium 117,user memasukkan harga maksimal dan minimal produk saat mencari product dan kemudian merubahnya,,2023-10-03 11:16:48,2023-10-03 11:17:05,17.520s,PASSED
"callTestCase(findTestCase(""Search Product/TC-SP-002""), [""merk"":""a""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-03 11:16:48,2023-10-03 11:16:57,9.232s,PASSED
"setText(findTestObject(""Search Product/input_Filter Produk_dari""), ""5000"")",Edge Chromium 117,,,2023-10-03 11:16:57,2023-10-03 11:16:58,0.960s,PASSED
"setText(findTestObject(""Search Product/input_Filter Produk_sampai""), ""10000"")",Edge Chromium 117,,,2023-10-03 11:16:58,2023-10-03 11:16:59,1.233s,PASSED
"click(findTestObject(""Search Product/button_Tampilkan product dari sampai""))",Edge Chromium 117,,,2023-10-03 11:16:59,2023-10-03 11:17:01,1.413s,PASSED
"setText(findTestObject(""Search Product/input_Filter Produk_dari""), Min)",Edge Chromium 117,,,2023-10-03 11:17:01,2023-10-03 11:17:03,1.630s,PASSED
"setText(findTestObject(""Search Product/input_Filter Produk_sampai""), Max)",Edge Chromium 117,,,2023-10-03 11:17:03,2023-10-03 11:17:03,0.818s,PASSED
"click(findTestObject(""Search Product/button_Tampilkan product dari sampai""))",Edge Chromium 117,,,2023-10-03 11:17:03,2023-10-03 11:17:04,1.057s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Search Product/Harga Semua Product""), 10)",Edge Chromium 117,,,2023-10-03 11:17:04,2023-10-03 11:17:05,0.672s,PASSED
arrProdukHarga = [],Edge Chromium 117,,,2023-10-03 11:17:05,2023-10-03 11:17:05,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:17:05,2023-10-03 11:17:05,0.108s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:17:05,2023-10-03 11:17:05,0.008s,PASSED
,,,,,,,
Test Cases/Search Product/TC-SP-005,Edge Chromium 117,user ingin menampilkan harga termurah dari product yang telah dicari,,2023-10-03 11:17:05,2023-10-03 11:17:18,13.116s,FAILED
"callTestCase(findTestCase(""Search Product/TC-SP-002""), [""merk"":""a""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-03 11:17:06,2023-10-03 11:17:15,9.369s,PASSED
"selectOptionByValue(findTestObject(""Search Product/Pilih Urutan""), ""asc"", false)",Edge Chromium 117,,,2023-10-03 11:17:15,2023-10-03 11:17:16,1.269s,PASSED
"click(findTestObject(""Search Product/button_Tampilkan product dari sampai""))",Edge Chromium 117,,,2023-10-03 11:17:16,2023-10-03 11:17:18,1.301s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Search Product/Harga Semua Product""), 10)",Edge Chromium 117,,,2023-10-03 11:17:18,2023-10-03 11:17:18,0.662s,PASSED
arrProdukHargaOri = [],Edge Chromium 117,,,2023-10-03 11:17:18,2023-10-03 11:17:18,0.001s,PASSED
arrProdukHargaSort = [],Edge Chromium 117,,,2023-10-03 11:17:18,2023-10-03 11:17:18,0.001s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:17:18,2023-10-03 11:17:18,0.139s,PASSED
Arrays.sort(arrProdukHargaSort),Edge Chromium 117,,,2023-10-03 11:17:18,2023-10-03 11:17:18,0.010s,PASSED
assert arrProdukHargaOri == arrProdukHargaSort,Edge Chromium 117,,,2023-10-03 11:17:18,2023-10-03 11:17:18,0.001s,FAILED
,,,,,,,
Test Cases/Search Product/TC-SP-006,Edge Chromium 117,user ingin menampilkan harga termahal dari product yang telah dicari,,2023-10-03 11:17:18,2023-10-03 11:17:32,13.407s,FAILED
"callTestCase(findTestCase(""Search Product/TC-SP-002""), [""merk"":""a""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-03 11:17:19,2023-10-03 11:17:28,9.743s,PASSED
"selectOptionByValue(findTestObject(""Search Product/Pilih Urutan""), ""desc"", false)",Edge Chromium 117,,,2023-10-03 11:17:28,2023-10-03 11:17:30,1.384s,PASSED
"click(findTestObject(""Search Product/button_Tampilkan product dari sampai""))",Edge Chromium 117,,,2023-10-03 11:17:30,2023-10-03 11:17:31,1.167s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Search Product/Harga Semua Product""), 10)",Edge Chromium 117,,,2023-10-03 11:17:31,2023-10-03 11:17:32,0.672s,PASSED
arrProdukHargaOri = [],Edge Chromium 117,,,2023-10-03 11:17:32,2023-10-03 11:17:32,0.000s,PASSED
arrProdukHargaSort = [],Edge Chromium 117,,,2023-10-03 11:17:32,2023-10-03 11:17:32,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-03 11:17:32,2023-10-03 11:17:32,0.128s,PASSED
"Arrays.sort(arrProdukHargaSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-03 11:17:32,2023-10-03 11:17:32,0.006s,PASSED
assert arrProdukHargaOri == arrProdukHargaSort,Edge Chromium 117,,,2023-10-03 11:17:32,2023-10-03 11:17:32,0.000s,FAILED
,,,,,,,
Test Cases/Search Product/TC-SP-007,Edge Chromium 117,user ingin menampilkan katagori yang memiliki huruf a dan hanya ingin menampilkan elektronik saja,,2023-10-03 11:17:32,2023-10-03 11:17:45,12.797s,PASSED
"callTestCase(findTestCase(""Search Product/TC-SP-002""), [""merk"":""a""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-03 11:17:32,2023-10-03 11:17:42,10.383s,PASSED
"click(findTestObject(""Search Product/Katagoti Elektronik""))",Edge Chromium 117,,,2023-10-03 11:17:42,2023-10-03 11:17:44,1.169s,PASSED
