Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Product Admin/TC-PA-006,Edge Chromium 117,User ingin mengurutkan Nama product dari yang Z sampai A,,2023-10-06 09:55:57,2023-10-06 09:56:21,23.550s,FAILED
"callTestCase(findTestCase(""Product Admin/TC-PA-005""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:55:57,2023-10-06 09:56:20,22.353s,PASSED
"click(findTestObject(""Product Admin/Button Sort Nama Produk""))",Edge Chromium 117,,,2023-10-06 09:56:20,2023-10-06 09:56:20,0.377s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Nama Produk""), 10)",Edge Chromium 117,,,2023-10-06 09:56:20,2023-10-06 09:56:21,0.447s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.111s,PASSED
"Arrays.sort(arrProdukNameSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.001s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.000s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:21,0.017s,FAILED
,,,,,,,
Test Cases/Product Admin/TC-PA-007,Edge Chromium 117,User ingin mengurutkan Modal product dari yang Terkecil sampai Terbesar,,2023-10-06 09:56:21,2023-10-06 09:56:44,22.863s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:56:21,2023-10-06 09:56:43,21.574s,PASSED
"click(findTestObject(""Product Admin/Button Sort Modal""))",Edge Chromium 117,,,2023-10-06 09:56:43,2023-10-06 09:56:43,0.491s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Harga Modal""), 10)",Edge Chromium 117,,,2023-10-06 09:56:43,2023-10-06 09:56:43,0.419s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:56:43,2023-10-06 09:56:43,0.000s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:56:43,2023-10-06 09:56:43,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:56:43,2023-10-06 09:56:44,0.113s,PASSED
Arrays.sort(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:56:44,2023-10-06 09:56:44,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:56:44,2023-10-06 09:56:44,0.001s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:56:44,2023-10-06 09:56:44,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:56:44,2023-10-06 09:56:44,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-008,Edge Chromium 117,User ingin mengurutkan Modal product dari yang Terbesar sampai Terkecil,,2023-10-06 09:56:44,2023-10-06 09:57:08,23.977s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-007""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:56:44,2023-10-06 09:57:07,22.718s,PASSED
"click(findTestObject(""Product Admin/Button Sort Modal""))",Edge Chromium 117,,,2023-10-06 09:57:07,2023-10-06 09:57:07,0.382s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Harga Modal""), 10)",Edge Chromium 117,,,2023-10-06 09:57:07,2023-10-06 09:57:07,0.525s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:57:07,2023-10-06 09:57:07,0.000s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:57:07,2023-10-06 09:57:07,0.001s,PASSED
